index,candidate_id,first_name,surname,education_level,area_of_knowledge,highest_qualification,code_HEL,Arts_Design_Media,Business_Finance_Management,Culinary_Hospitality,Education_Training,Health_Medical_Sciences,Humanities_Social_Sciences,Law_Political_Science,Marketing_Sales,STEM_Science_Technology_Engineering_Mathematics,Skilled_Trades_Technical_Certifications,Veterinary_Animal_Sciences,latest_job_title,total_years_experience,avg_years_per_job,total_certifications,cert_Business_Finance_Management,cert_Design_Arts_Media,cert_Education_Training,cert_Engineering_Technical_Trades,cert_Finance_Accounting,cert_Health_Medical_Veterinary,cert_Hospitality_Culinary,cert_Humanities_Social_Sciences,cert_Languages_Communication,cert_Law_Security_Emergency_Services,cert_Marketing_Sales,cert_Project_Business_Management,cert_Skilled_Trades_Technical_Certifications,cert_Technology_IT,bio,agile
367,50,Donna,Ward,4,Veterinary & Animal Sciences,DVM,4,0,0,0,0,0,0,0,0,0,0,7,Veterinary Director,11.036276522929501,3.6787588409765006,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Veterinarian with 9 years providing medical care for companion animals and livestock. DVM degree with additional training in surgery and emergency medicine. Operated successful veterinary practice serving rural communities with focus on preventive care and client education. Strong diagnostic skills with experience in medical imaging, laboratory diagnostics, and surgical procedures. Active in professional organizations and continuing education programs.",0.0
376,51,Arthur,Torres,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,4,2,0,Senior Power Systems Engineer,13.065023956194388,4.355007985398129,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"Electrical engineer with 11 years designing power systems and electrical infrastructure. Professional Engineer license with expertise in power generation, transmission, and distribution systems. Led engineering projects for utilities and industrial clients worth $50M+ in capital investment. Strong technical skills in electrical design software, power system analysis, and renewable energy integration. Experience with smart grid technologies and energy storage systems.",0.0
385,52,Cheryl,Peterson,5,Humanities & Social Sciences,Master's Degree,5,1,0,0,0,1,5,0,0,0,1,0,Director of Social Services,11.526351813826146,3.842117271275382,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Social worker with 8 years providing support services to individuals and families in crisis. MSW degree with specialization in clinical social work and case management. Worked in healthcare, school, and community mental health settings serving diverse populations. Strong assessment and intervention skills with experience in trauma-informed care and crisis intervention. Licensed clinical social worker with additional certifications in substance abuse counseling.",0.0
394,53,Ralph,Gray,3,Law & Political Science,Bachelor's Degree,3,0,0,0,0,0,0,3,0,0,2,0,Detective Sergeant,15.991786447638603,5.330595482546201,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"Police officer with 13 years in law enforcement and public safety. Bachelor degree in Criminal Justice with specialized training in investigations, community policing, and emergency response. Served in patrol, detective, and supervisory roles while maintaining excellent service record. Strong communication and problem-solving skills with experience in conflict resolution and crisis management. Committed to building positive community relationships and ensuring public safety.",0.0
403,54,Janice,Ramirez,3,Marketing & Sales,Bachelor's Degree,3,0,0,0,0,0,0,0,5,0,0,0,Marketing Automation Specialist,7.107460643394935,3.5537303216974676,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,"Marketing coordinator with 5 years supporting integrated marketing campaigns and brand initiatives. Expert in digital marketing, event planning, and campaign execution. Managed marketing projects that increased brand awareness by 40% and generated qualified leads for sales teams. Strong organizational skills with experience in project management, vendor relations, and budget administration. Proficient in marketing automation platforms and analytics tools.",0.0
409,55,Wayne,James,1,Skilled Trades & Technical Certifications,Certificate,1,0,1,0,1,0,0,0,1,0,1,0,Transportation Manager,20.06570841889117,6.6885694729637235,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"Truck driver with 16 years experience in long-haul and regional transportation. CDL Class A license with clean driving record and safety awards. Transported freight across 48 states while maintaining on-time delivery and cargo security. Strong customer service skills with experience in logistics coordination and electronic logging devices. Knowledge of DOT regulations, route planning, and vehicle maintenance. Seeking driving opportunities with reputable transportation companies.",0.0
415,56,Gloria,Watson,2,"Business, Finance & Management",Associate Degree,2,0,3,0,0,0,1,0,1,0,0,0,Operations Coordinator,13.073237508555785,4.357745836185262,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Office manager with 9 years coordinating administrative operations and supporting executive teams. Expert in office procedures, scheduling, and document management. Managed administrative functions for organizations with 100+ employees while improving efficiency and reducing costs. Strong interpersonal skills with experience in staff coordination, vendor management, and customer service. Proficient in office software applications and database management systems.",0.0
421,57,Roy,Brooks,2,Skilled Trades & Technical Certifications,Associate Degree,2,0,1,0,0,0,0,0,0,0,3,1,HVAC Service Manager,14.067077344284737,4.689025781428246,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,"HVAC technician with 10 years installing and maintaining heating, ventilation, and air conditioning systems. Licensed technician with expertise in residential and commercial HVAC equipment. Performed preventive maintenance, troubleshooting, and emergency repairs while maintaining high customer satisfaction. Strong technical skills with knowledge of refrigeration systems, electrical controls, and energy efficiency. EPA certifications for refrigerant handling and environmental compliance.",0.0
430,58,Frances,Kelly,5,Humanities & Social Sciences,Master's Degree,5,0,1,0,1,0,5,0,0,0,0,0,Information Services Manager,10.568104038329912,5.284052019164956,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"Librarian with 7 years managing library collections and information services. MLIS degree with expertise in cataloging, reference services, and digital resources. Developed library programs that increased community engagement and usage by 60%. Strong technology skills with experience in library management systems, databases, and online resources. Led initiatives to modernize library services and improve accessibility for diverse user populations.",0.0
436,59,Eugene,Sanders,1,Skilled Trades & Technical Certifications,Certificate,1,0,0,0,0,1,0,0,0,0,4,0,Fire Captain,17.815195071868583,5.938398357289528,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Firefighter and EMT with 12 years in emergency services and public safety. Certified firefighter and emergency medical technician with specialized training in hazardous materials and technical rescue. Responded to thousands of emergency calls while maintaining excellent service record and community relations. Strong leadership skills with experience training new firefighters and coordinating emergency response activities. Committed to protecting lives and property through professional emergency services.,0.0
445,60,Marie,Price,5,Health & Medical Sciences,Master's Degree,5,0,0,0,1,7,3,0,0,0,0,0,Athletic Director,11.526351813826146,3.842117271275382,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Physical education teacher and coach with 8 years promoting health and fitness among students. Masters degree in Kinesiology with certifications in CPR, first aid, and sports medicine. Coached multiple sports teams to championship levels while emphasizing teamwork, discipline, and sportsmanship. Developed fitness programs that improved student health outcomes and participation rates. Strong motivational skills with passion for youth development through athletics.",0.0
454,61,Louis,Bennett,2,Skilled Trades & Technical Certifications,Associate Degree,2,0,0,0,0,0,0,0,0,0,5,0,Welding Supervisor,18.067077344284737,6.022359114761579,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"Welder and fabricator with 14 years experience in structural steel and pipeline construction. Certified welder with expertise in MIG, TIG, and stick welding processes. Worked on major construction projects including bridges, buildings, and industrial facilities. Strong attention to detail with knowledge of welding codes, safety procedures, and quality control. Experience with blueprint reading, material cutting, and assembly techniques. Seeking opportunities with reputable construction companies.",0.0
463,62,Doris,Wood,2,Health & Medical Sciences,Associate Degree,2,0,0,0,0,4,0,0,0,0,0,0,Senior Dental Hygienist,9.190965092402465,4.595482546201232,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Dental hygienist with 6 years providing preventive oral healthcare services. Licensed dental hygienist with expertise in teeth cleaning, patient education, and periodontal therapy. Maintained high patient satisfaction while supporting dental practice operations and revenue growth. Strong clinical skills with knowledge of dental radiography, local anesthesia administration, and infection control protocols. Committed to promoting oral health through patient education and preventive care.",0.0
469,63,Albert,Barnes,2,Skilled Trades & Technical Certifications,Associate Degree,2,0,0,0,0,0,0,0,0,0,5,0,Construction Foreman,22.064339493497606,7.354779831165868,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"Carpenter with 18 years experience in residential and commercial construction. Skilled craftsman with expertise in framing, finish carpentry, and cabinet installation. Led construction crews on projects ranging from custom homes to office buildings. Strong knowledge of building codes, construction methods, and safety regulations. Experience with project estimation, material ordering, and client relations. Seeking foreman or superintendent roles with established construction companies.",0.0
475,64,Lillian,Ross,2,"Business, Finance & Management",Associate Degree,2,0,5,0,0,0,0,0,0,0,0,0,Branch Operations Supervisor,9.034907597535934,3.0116358658453115,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"Bank teller and customer service representative with 5 years in financial services. Expert in cash handling, account transactions, and customer relationship management. Processed thousands of financial transactions while maintaining accuracy and compliance with banking regulations. Strong communication skills with ability to explain financial products and resolve customer inquiries. Cross-trained in loan processing, safe deposit box operations, and new account opening procedures.",0.0
481,65,Jose,Henderson,2,Skilled Trades & Technical Certifications,Associate Degree,2,0,1,0,0,0,0,0,0,0,2,2,Service Manager,15.066392881587953,5.022130960529318,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"Auto mechanic with 11 years diagnosing and repairing automotive systems. ASE certified technician with expertise in engine repair, electrical systems, and computerized diagnostics. Maintained high customer satisfaction while working on diverse vehicle makes and models. Strong problem-solving skills with knowledge of hybrid and electric vehicle technologies. Experience with shop management, parts ordering, and customer communication. Seeking master technician or service advisor roles.",0.0
490,66,Annie,Coleman,2,Skilled Trades & Technical Certifications,Associate Degree,2,1,1,0,0,0,0,0,0,0,4,0,Salon Owner,16.06570841889117,5.35523613963039,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"Hairstylist and salon owner with 12 years in cosmetology and business management. Licensed cosmetologist with expertise in cutting, coloring, and styling for diverse clientele. Built successful salon business with loyal customer base and positive reputation. Strong creative skills with knowledge of latest trends, techniques, and products. Experience in staff management, inventory control, and customer service. Seeking opportunities to expand salon operations or join upscale establishments.",0.0
